0_0_dx,0_0_dy,0_1_dx,0_1_dy,0_2_dx,0_2_dy,1_0_dx,1_0_dy,1_1_dx,1_1_dy,1_2_dx,1_2_dy,2_0_dx,2_0_dy,2_1_dx,2_1_dy,2_2_dx,2_2_dy,angle
49.0693,50.9209,49.1682,50.0138,49.1002,49.1072,49.9668,50.9342,50.0454,49.9903,49.9512,49.1316,50.8848,50.9455,50.93,50.0429,50.8258,49.1759,-0.45
49.0602,50.9797,49.0985,49.9903,49.0644,49.0218,49.9843,50.9314,49.9961,49.9922,49.9549,49.0701,50.8936,50.9334,50.9204,50.0724,50.8745,49.0521,-0.5
49.1069,51.0448,49.0545,50.0088,49.0101,49.0674,49.9498,50.9485,50.0119,50.0277,49.9713,49.0146,50.9352,50.9954,50.9346,50.0503,50.9371,49.0134,-0.55
49.0315,51.0791,48.9852,49.8984,48.9809,48.9324,49.958,51.0148,49.9912,49.9786,49.9375,48.8743,51.0521,51.0744,51.0776,50.0086,51.0132,48.9424,-0.6
48.9318,51.0961,48.9663,49.8858,48.9511,48.8659,49.9511,51.1085,49.9952,49.9911,49.9658,48.8772,51.0227,51.0659,51.0997,50.0718,51.1148,48.9272,-0.65
48.8642,51.1358,48.9592,49.8581,48.854,48.8774,49.9366,51.1406,49.9662,50.0213,49.907,48.9026,51.1864,51.133,51.1707,50.0054,51.1577,48.7868,-0.7
48.7868,51.1625,48.845,49.8474,48.8928,48.8073,49.9232,51.2243,50.0233,49.9747,49.9411,48.8481,51.22,51.1865,51.2013,49.9654,51.2501,48.8278,-0.75
48.7269,51.3074,48.7454,49.9175,48.7496,48.7034,49.9484,51.3341,50.063,49.9714,50.0048,48.8359,51.296,51.2605,51.2116,49.8578,51.2454,48.685,-0.8
48.6187,51.5979,48.6931,49.9342,48.6121,48.6054,49.9395,51.447,49.9929,50.0012,49.9176,48.4021,51.633,51.3791,51.2929,49.8615,51.4164,48.3887,-0.85
48.2934,51.7857,48.6078,49.951,48.2389,48.4889,49.9126,51.7795,50.0047,50.0014,50.0412,48.2622,51.7696,51.6321,51.6295,49.9363,51.6922,48.2765,-0.9
48.2052,51.8198,48.3031,49.8875,48.1698,48.2408,49.9262,51.8193,50.0135,49.9937,49.9385,48.1835,51.7871,51.6858,51.6987,49.9362,51.75,48.1268,-0.95
48.158,51.8373,48.3109,49.8784,48.1539,48.1304,49.9263,51.8868,50.0056,49.9981,49.8887,48.149,51.784,51.7866,51.7887,49.9466,51.7854,48.0414,-1.0
